"stage","year_start","n_grades","repetition_rate","period","label"
"Lower secondary education",2007,4,18.025,"2007-08","18.0"
"Lower secondary education",2008,4,17.625,"2008-09","17.6"
"Lower secondary education",2009,4,16.75,"2009-10","16.8"
"Lower secondary education",2010,4,16.7,"2010-11","16.7"
"Lower secondary education",2011,4,15.975,"2011-12","16.0"
"Lower secondary education",2012,4,15.2,"2012-13","15.2"
"Lower secondary education",2013,4,14.6,"2013-14","14.6"
"Lower secondary education",2014,4,13.725,"2014-15","13.7"
"Lower secondary education",2015,4,13.35,"2015-16","13.3"
"Lower secondary education",2016,4,13.7,"2016-17","13.7"
"Lower secondary education",2017,4,12.5,"2017-18","12.5"
"Lower secondary education",2018,4,12.65,"2018-19","12.6"
"Lower secondary education",2019,4,6.7,"2019-20","6.7"
"Lower secondary education",2020,4,11.2,"2020-21","11.2"
"Lower secondary education",2021,4,9.85,"2021-22","9.9"
"Lower secondary education",2022,4,9.575,"2022-23","9.6"
"Lower secondary education",2023,4,9.45,"2023-24","9.4"
"Primary education",2007,3,5.36666666666667,"2007-08","5.4"
"Primary education",2008,3,5.53333333333333,"2008-09","5.5"
"Primary education",2009,3,4.93333333333333,"2009-10","4.9"
"Primary education",2010,3,4.43333333333333,"2010-11","4.4"
"Primary education",2011,3,4.36666666666666,"2011-12","4.4"
"Primary education",2012,3,3.9,"2012-13","3.9"
"Primary education",2013,3,3.73333333333333,"2013-14","3.7"
"Primary education",2014,3,3.3,"2014-15","3.3"
"Primary education",2015,6,2.2,"2015-16","2.2"
"Primary education",2016,6,2.08333333333333,"2016-17","2.1"
"Primary education",2017,6,1.96666666666667,"2017-18","2.0"
"Primary education",2018,6,1.95,"2018-19","1.9"
"Primary education",2019,6,0.966666666666666,"2019-20","1.0"
"Primary education",2020,6,1.9,"2020-21","1.9"
"Primary education",2021,3,1.5,"2021-22","1.5"
"Primary education",2022,3,2.2,"2022-23","2.2"
"Primary education",2023,3,2.3,"2023-24","2.3"
